Symbol,Year,Month,Avg_Close,Max_Close,Min_Close
AAPL,2023,12,194.30850145,198.110001,189.429993
AAPL,2024,1,187.72428385714286,195.179993,181.179993
AAPL,2024,2,184.77550054999998,189.410004,180.75
AAPL,2024,3,172.6964997,179.660004,169.0
AAPL,2024,4,169.6045448181818,176.550003,165.0
AAPL,2024,5,186.28590872727273,192.350006,169.300003
AAPL,2024,6,206.2631577368421,216.669998,193.119995
AAPL,2024,7,216.75,216.75,216.75
MSFT,2023,12,372.57800154999995,376.040009,365.929993
MSFT,2024,1,389.44999909523807,409.720001,367.75
MSFT,2024,2,408.9939988,420.549988,402.179993
MSFT,2024,3,416.78950034999997,429.369995,402.089996
MSFT,2024,4,413.26363581818185,427.929993,389.329987
MSFT,2024,5,417.537728,430.519989,394.940002
MSFT,2024,6,438.34210684210524,452.850006,413.519989
MSFT,2024,7,456.730011,456.730011,456.730011
GOOGL,2023,12,135.57450085,141.520004,129.270004
GOOGL,2024,1,143.84238028571428,153.509995,135.729996
GOOGL,2024,2,142.8340019,149.0,136.380005
GOOGL,2024,3,142.4474998,150.929993,131.399994
GOOGL,2024,4,157.1868175909091,171.949997,150.529999
GOOGL,2024,5,171.995,177.850006,163.860001
GOOGL,2024,6,177.78315736842106,185.410004,173.169998
GOOGL,2024,7,182.990005,182.990005,182.990005
AMZN,2023,12,149.82399965,154.070007,144.520004
AMZN,2024,1,153.61523728571427,161.259995,144.570007
AMZN,2024,2,171.00349814999998,176.759995,159.279999
AMZN,2024,3,176.8224999,180.380005,171.960007
AMZN,2024,4,181.17318231818183,189.050003,173.669998
AMZN,2024,5,184.1763645,189.5,176.440002
AMZN,2024,6,186.08421089473686,197.850006,178.339996
AMZN,2024,7,197.199997,197.199997,197.199997
TSLA,2023,12,247.1379981,261.440002,235.580002
TSLA,2024,1,216.1304763809524,248.419998,182.630005
TSLA,2024,2,192.7930009,202.039993,181.059998
TSLA,2024,3,176.16300035,202.639999,162.5
TSLA,2024,4,165.87227227272726,194.050003,142.050003
TSLA,2024,5,177.23181904545453,186.600006,168.470001
TSLA,2024,6,182.21999957894738,197.880005,170.660004
TSLA,2024,7,209.860001,209.860001,209.860001
